link,full_name,price,year,mileage_km,fuel_type,location
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-2-tsi-bluemotion-technology-match-ID7HpZkB.html,Volkswagen Golf 1.2 TSI BlueMotion Technology MATCH,5 699,2012,215 000 km,Benzina,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/renault-megane-blue-dci-116-edc-zen-ID7HusfL.html,Renault Megane Blue dCi 116 EDC Zen,13 078,2019,146 532 km,Diesel,Galati (Galati)
https://www.autovit.ro/autoturisme/anunt/ford-focus-ID7HreiK.html,Ford Focus,7 150,2018,134 000 km,Benzina,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/bmw-x3-sdrive18d-at-mhev-ID7HqUe1.html,BMW X3 sDrive18d AT MHEV,15 000,2015,249 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/toyota-corolla-2-0-hybrid-lounge-ID7HrH9d.html,Toyota Corolla 2.0 Hybrid Lounge,19 489,2020,130 343 km,Hibrid,Uricani (Iasi)
https://www.autovit.ro/autoturisme/anunt/audi-a4-avant-1-8-tfsi-multitronic-ambiente-ID7Huvh6.html,Audi A4 Avant 1.8 TFSI multitronic Ambiente,6 150,2009,277 052 km,Benzina,Prejmer (Brasov)
https://www.autovit.ro/autoturisme/anunt/volvo-xc-40-ID7Huvhb.html,Volvo XC 40,18 990,2019,190 000 km,Diesel,Moinesti (Bacau)
https://www.autovit.ro/autoturisme/anunt/hyundai-ix35-1-7-crdi-2wd-5-star-edition-ID7HrCPi.html,Hyundai ix35 1.7 CRDi 2WD 5 Star Edition,7 999,2011,199 000 km,Diesel,Carani (Timis)
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-6-tdi-dpf-comfortline-ID7HrCPj.html,Volkswagen Golf 1.6 TDI DPF Comfortline,6 200,2013,249 000 km,Diesel,Carani (Timis)
https://www.autovit.ro/autoturisme/anunt/ford-focus-1-5-ecoboost-st-line-ID7Httce.html,Ford Focus 1.5 Ecoboost ST-Line,16 648,2019,165 621 km,Benzina,Galati (Galati)
https://www.autovit.ro/autoturisme/anunt/volkswagen-t-cross-1-6-tdi-base-ID7HrBwr.html,Volkswagen T-Cross 1.6 TDI Base,12 790,2019,131 381 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/volvo-v60-d6-plug-in-hybrid-awd-geartronic-summum-ID7HtQgF.html,Volvo V60 D6 Plug-In-Hybrid AWD Geartronic Summum,9 949,2014,210 000 km,Hibrid Plug-In,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/opel-astra-1-6-d-cdti-start-stop-sports-tourer-business-ID7Huq8K.html,Opel Astra 1.6 D (CDTI) Start/Stop Sports Tourer Business,7 499,2018,270 000 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/skoda-fabia-1-2-htp-active-ID7HlV31.html,Skoda Fabia 1.2 HTP Active,2 999,2009,189 000 km,Benzina,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/nissan-navara-2-3-dci-double-cab-visia-ID7HrBve.html,Nissan Navara 2.3 dCi Double Cab Visia,17 489,2020,146 867 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/bmw-i3-94-ah-ID7Huq8a.html,BMW i3 (94 Ah),12 950,2018,71 000 km,Electric,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/toyota-urban-cruiser-ID7HrBuF.html,Toyota Urban Cruiser,5 999,2011,198 000 km,Diesel,Timisoara (Timis)
